precinct,latitude,longitude,dem_1996,rep_1996,oth_1996,tot_1996,pct_1996,dem_2000,rep_2000,oth_2000,tot_2000,pct_2000,dem_2004,rep_2004,oth_2004,tot_2004,pct_2004,dem_2008,rep_2008,oth_2008,tot_2008,pct_2008,dem_2012,rep_2012,oth_2012,tot_2012,pct_2012,dem_2016,rep_2016,oth_2016,tot_2016,pct_2016,dem_2020,rep_2020,oth_2020,tot_2020,pct_2020
precinct_303,-77.4357847,37.577465269999998,749,38,18,805,0.951715375,708,27,5,740,0.963265306,667,45,2,714,0.936797753,806,25,4,835,0.969915764,748,36,6,790,0.954081633,762,38,36,836,0.9525,278,23,4,305,0.92358804
precinct_304,-77.42843947,37.575759460000000,1242,39,43,1324,0.969555035,1135,36,14,1185,0.969257045,1168,62,1,1231,0.949593496,1367,24,4,1395,0.982746226,1165,24,7,1196,0.979814971,1111,30,43,1184,0.973707274,437,24,12,473,0.947939262
precinct_305,-77.43912093,37.563961319999997,799,25,33,857,0.969660194,746,40,11,797,0.949109415,795,73,4,872,0.915898618,951,29,10,990,0.970408163,1098,49,21,1168,0.957279861,1076,82,92,1250,0.929188256,402,54,20,476,0.881578947
precinct_306,-77.45063256,37.562203550000000,489,16,10,515,0.968316832,499,10,5,514,0.980353635,534,25,2,561,0.955277281,635,23,4,662,0.965045593,969,46,4,1019,0.954679803,964,53,58,1075,0.947885939,317,29,17,363,0.916184971
precinct_307,-77.45181712,37.582145910000001,570,320,67,957,0.640449438,642,303,61,1006,0.679365079,736,283,10,1029,0.722276742,847,273,10,1130,0.75625,872,269,20,1161,0.764241893,955,195,86,1236,0.830434783,203,108,23,334,0.652733119
precinct_308,-77.45406449,37.594100800000000,642,435,59,1136,0.596100279,643,391,81,1115,0.621856867,821,406,11,1238,0.669111654,967,361,11,1339,0.728162651,996,330,30,1356,0.751131222,1005,230,94,1329,0.813765182,223,132,17,372,0.628169014
precinct_309,-77.46959865,37.591090370000003,392,544,51,987,0.418803419,366,543,28,937,0.402640264,471,558,9,1038,0.457725948,492,456,19,967,0.518987342,516,409,28,953,0.557837838,629,318,58,1005,0.664202746,205,155,1,361,0.569444444
precinct_310,-77.43710441,37.553062760000003,0,0,0,0,#DIV/0!,0,0,0,0,#DIV/0!,0,0,0,0,#DIV/0!,0,0,0,0,#DIV/0!,737,7,2,746,0.990591398,608,4,10,622,0.993464052,267,5,6,278,0.981617647
precinct_402,-77.48332351,37.523943379999999,556,827,72,1455,0.402024584,618,780,57,1455,0.442060086,1258,1039,16,2313,0.547670875,1485,866,24,2375,0.631646108,1300,805,41,2146,0.617577197,1540,496,209,2245,0.756385069,480,298,49,827,0.616966581
precinct_404,-77.50051463,37.525222829999997,645,713,95,1453,0.474963181,783,637,48,1468,0.551408451,1265,686,17,1968,0.648385443,1687,595,19,2301,0.739263804,1389,449,31,1869,0.755712731,1393,381,134,1908,0.785231116,476,223,23,722,0.680972818
